Username	User handle	Tweet	Date of posting	Text	Retweet count	Like count
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254322250731521	Fri Sep 23 10:13:54 +0000 2022	Bench: We can say AGM can take place but any decision regarding election is subject to decision of the court.	1	4
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254320413605888	Fri Sep 23 10:13:54 +0000 2022	"Counsel for BCA: If everyone is unopposed then what will happen on Sunday. 

Counsel for applicant: Postpone the AGM by a week."	1	1
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254318589104138	Fri Sep 23 10:13:53 +0000 2022	Counsel for applicant: My grievance was that they could not have altered the electoral college as per the amendment which is not approved by the Court.	0	1
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254316882034689	Fri Sep 23 10:13:53 +0000 2022	"Bench: If election is done..?

Counsel for BCA: This was unopposed. 

Bench: When was the day of balloting?"	0	1
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254314981982209	Fri Sep 23 10:13:53 +0000 2022	"Counsel for applicant: It was on the 25th. 

Counsel for BCA: If he says election is done so what is the urgency?"	0	1
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254313191026694	Fri Sep 23 10:13:52 +0000 2022	"Counsel for applicant: They have conducted the elections and declared results. 

Counsel for BCA: The election is on Sunday."	0	5
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573254310863179778	Fri Sep 23 10:13:52 +0000 2022	#SupremeCourt to hear application seeking directions to stay the upcoming election of the Bihar Cricket Association https://t.co/xKSLD2Vas1	4	15
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573253846981574657	Fri Sep 23 10:12:01 +0000 2022	"J Dhanuka - One thing, you have also applied to another ground. 

Dwarkadas - It's in the paper but they said no in the morning. I don't know. 

Chinoy - Ofcourse it's granted. 

#BombayHC #ShivSena #UddhavThackeray
#EknathShinde"	2	12
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573253841407066112	Fri Sep 23 10:12:00 +0000 2022	"J Dhanuka - Mr Dwarkadas, you are a senior counsel of the court you should find out what should and shouldn't be argued. All of this is pending before the SC...You have not even challenged rejection of your application by the BMC
#BombayHC #ShivSena #UddhavThackeray
#EknathShinde"	5	20
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573253822683684864	Fri Sep 23 10:11:55 +0000 2022	Is Wife Entitled To Maintenance When Decree Of Restitution Of Conjugal Rights Is Against Her? Delhi High Court Answers @nupur_0111 https://t.co/1zu48md7G0	5	17
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573252947827359746	Fri Sep 23 10:08:27 +0000 2022	"Dwarkadas reading EC order saying something on the lines of who is the party whip and Shiv Sena symbols. 

J Dhanuka - Mr Dwarkadas, how is this relevant?? 

#BombayHC #ShivSena #UddhavThackeray
#EknathShinde"	2	14
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573252132450742272	Fri Sep 23 10:05:12 +0000 2022	"RT @LiveLawIndia: J Dhanuka to Dwarkadas- Then we will have to go into how you got permission from MMRDA. Don't invite all this. 

#BombayH…"	6	0
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573252111336411137	Fri Sep 23 10:05:07 +0000 2022	"RT @LiveLawIndia: Dwarkadas - This is only to show my locus. 

States that the EC passed an order and the SC refused to intervene. 

J Dhak…"	3	0
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573252035188752385	Fri Sep 23 10:04:49 +0000 2022	"Dwarkadas continues - The history goes back to much before the applications for permission were made. 

#BombayHC #ShivSena #UddhavThackeray
#EknathShinde"	1	8
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573251602630443013	Fri Sep 23 10:03:06 +0000 2022	"J Dhanuka to Dwarkadas- Then we will have to go into how you got permission from MMRDA. Don't invite all this. 

#BombayHC #ShivSena #UddhavThackeray
#EknathShinde"	6	22
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573251473391108097	Fri Sep 23 10:02:35 +0000 2022	Watchmen In Aided Private Ashram Schools Entitled To Equal Pay Scale As Those In Govt Ashram Schools: Bombay High Court https://t.co/SmNwCQsaj7	1	5
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573251191236333568	Fri Sep 23 10:01:28 +0000 2022	"Dwarkadas - This is only to show my locus. 

States that the EC passed an order and the SC refused to intervene. 

J Dhakuna - Let us tell you very clearly, we are not going to say anything about the proceedings pending before the SC and EC.

#BombayHC #ShivSena #UddhavThackeray"	3	12
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573250471284051968	Fri Sep 23 09:58:36 +0000 2022	"Dwarkadas - The loyalty of a person and his allegiance to a party cannot be gauged this way. You are pitching me against my own party. See the contradictions. Where does Mr Desai get the right that he has a higher right than me? 

#ShivSena #BombayHC"	1	6
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573250115867152384	Fri Sep 23 09:57:11 +0000 2022	"Dwarkadas - I am a member of this political party. I am not an outsider
I am showing a greater allegiance. 

How can they say ""Mr Sarvankar"" left the Shiv Sena. This is all Mr Desai's imagination. 

#BombayHC #ShivSena #UddhavThackeray
#EknathShinde"	1	11
